population,drug,endpoint,state,n
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital,no_first_event,354
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital,recovery,1019
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital,death,568
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital,live_exit,551
routine_culture_no_recorded_lmwh_shared,linezolid,hospital,no_first_event,18
routine_culture_no_recorded_lmwh_shared,linezolid,hospital,recovery,14
routine_culture_no_recorded_lmwh_shared,linezolid,hospital,death,17
routine_culture_no_recorded_lmwh_shared,linezolid,hospital,live_exit,16
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_single,no_first_event,266
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_single,recovery,1364
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_single,death,480
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_single,live_exit,382
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_single,no_first_event,12
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_single,recovery,27
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_single,death,13
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_single,live_exit,13
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital72,no_first_event,355
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital72,recovery,1016
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital72,death,568
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital72,live_exit,553
routine_culture_no_recorded_lmwh_shared,linezolid,hospital72,no_first_event,18
routine_culture_no_recorded_lmwh_shared,linezolid,hospital72,recovery,14
routine_culture_no_recorded_lmwh_shared,linezolid,hospital72,death,17
routine_culture_no_recorded_lmwh_shared,linezolid,hospital72,live_exit,16
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_timed,no_first_event,360
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_timed,recovery,1003
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_timed,death,571
routine_culture_no_recorded_lmwh_shared,vancomycin,hospital_timed,live_exit,558
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_timed,no_first_event,18
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_timed,recovery,14
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_timed,death,17
routine_culture_no_recorded_lmwh_shared,linezolid,hospital_timed,live_exit,16
