population,metric,lower_endpoint_MCSE,upper_endpoint_MCSE,simulations,seed
routine_culture_no_recorded_lmwh_shared,hospital__recovery,0.00301284319931866,0.00270217598738481,1000,20260916
routine_culture_no_recorded_lmwh_shared,hospital_single__recovery,0.00308735706787555,0.00262477658666064,1000,20260916
routine_culture_no_recorded_lmwh_shared,physical__recovery,0.00133550669991223,0.00206739587370179,1000,20260916
routine_culture_no_recorded_lmwh_shared,physical_timed__recovery,0.00138193848996071,0.00174981138102803,1000,20260916
routine_culture_no_recorded_lmwh_shared,hospital_timed__recovery,0.00300396918217129,0.00275939546962226,1000,20260916
routine_bacterial_culture72h_shared,hospital__recovery,0.00267196287793925,0.00191815346617609,1000,20260916
routine_bacterial_culture72h_shared,hospital_single__recovery,0.00404255760295267,0.00471866396197574,1000,20260916
routine_bacterial_culture72h_shared,physical__recovery,0.0014037869590772,0.00228010632309039,1000,20260916
routine_bacterial_culture72h_shared,physical_timed__recovery,0.00154845776622784,0.00236303035652414,1000,20260916
routine_bacterial_culture72h_shared,hospital_timed__recovery,0.0026059577408587,0.00226465708778325,1000,20260916
