population,drug,discharge_window,prior_confirmation,bin,n,denominator,fraction,lower,upper,valid_draws
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,All,Below50,136,1065,0.198606647775349,0.140722845395662,0.268925243262597,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,All,From50to99,274,1065,0.273021009053976,0.217328224638961,0.326491748391544,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,All,AtLeast100,655,1065,0.528372343170676,0.460266736052232,0.604012842495219,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,All,MissingOrAmbiguous,0,1065,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,Below50,0,514,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,From50to99,12,514,0.0336232593435195,0.0093081914308602,0.0732841419826085,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,AtLeast100,502,514,0.96637674065648,0.926715858017392,0.99069180856914,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,514,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,Below50,136,551,0.344651727757847,0.259117227210672,0.44906903146183,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,From50to99,262,551,0.44906176043729,0.360903575555269,0.534118524286874,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,AtLeast100,153,551,0.206286511804864,0.138944319023974,0.282600527850434,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,551,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,All,Below50,71,635,0.140859247452416,0.0862267606853931,0.203359692325348,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,All,From50to99,133,635,0.257923038358635,0.195493258637727,0.323609127022276,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,All,AtLeast100,431,635,0.601217714188949,0.526117716820973,0.682935705363228,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,All,MissingOrAmbiguous,0,635,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,ConfirmedBeforeDischarge,Below50,<10,483,0.011899152180118,0.00245266932152295,0.0300455209656438,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,ConfirmedBeforeDischarge,From50to99,48,483,0.0997452685865671,0.0593797305215124,0.155931153809788,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,ConfirmedBeforeDischarge,AtLeast100,428,483,0.888355579233316,0.830447116665612,0.929912892530845,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,483,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,Below50,64,152,0.403913141469373,0.270924922793677,0.544662441286181,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,From50to99,85,152,0.580575392155384,0.439593145398489,0.715989086021543,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,AtLeast100,<10,152,0.0155114663752428,0,0.051476664676038,2000
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,152,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,All,Below50,<10,23,0.257333470380973,0.0926855658539574,0.43436372247015,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,All,From50to99,<10,23,0.344517957028516,0.155583974199326,0.54372857866672,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,All,AtLeast100,<10,23,0.398148572590512,0.209389143949847,0.586632278457473,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,All,MissingOrAmbiguous,0,23,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,ConfirmedBeforeDischarge,Below50,0,<10,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,ConfirmedBeforeDischarge,From50to99,<10,<10,0.130504575590172,0,0.436922758115033,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,ConfirmedBeforeDischarge,AtLeast100,<10,<10,0.869495424409828,0.563077241884967,1,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,<10,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,Below50,<10,16,0.36950061988283,0.1422993640839,0.607781017336891,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,From50to99,<10,16,0.437802639023648,0.199006377177388,0.687466054301235,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,AtLeast100,<10,16,0.192696741093522,0,0.39425593549724,2000
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,16,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,All,Below50,<10,16,0.12659581665693,0,0.310354909532317,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,All,From50to99,<10,16,0.236264805319856,0.0465487944115154,0.442273103349411,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,All,AtLeast100,10,16,0.637139378023214,0.403025118186444,0.868988815053451,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,All,MissingOrAmbiguous,0,16,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,ConfirmedBeforeDischarge,Below50,0,10,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,ConfirmedBeforeDischarge,From50to99,0,10,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,ConfirmedBeforeDischarge,AtLeast100,10,10,1,1,1,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,10,0,0,0,2000
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,NotConfirmedBeforeDischarge,Below50,<10,<10,0.348882763765501,0,0.798002691321864,1992
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,NotConfirmedBeforeDischarge,From50to99,<10,<10,0.651117236234499,0.201997308678136,1,1992
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,NotConfirmedBeforeDischarge,AtLeast100,0,<10,0,0,0,1992
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,<10,0,0,0,1992
routine_bacterial_culture72h_shared,vancomycin,Within14d,All,Below50,138,1077,0.19927705510705,0.138651970264599,0.272449811921564,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,All,From50to99,277,1077,0.272866730139455,0.216189622315188,0.325983759674185,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,All,AtLeast100,662,1077,0.527856214753494,0.453038278258636,0.602377910712501,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,All,MissingOrAmbiguous,0,1077,0,0,0,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,Below50,0,521,0,0,0,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,From50to99,12,521,0.0334152512875842,0.0095339560883007,0.0748685355203971,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,AtLeast100,509,521,0.966584748712416,0.925131464479602,0.990466043911699,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,521,0,0,0,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,Below50,138,556,0.345851162851481,0.255914487670054,0.446089302313145,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,From50to99,265,556,0.448990302629743,0.363617578444361,0.532001488632879,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,AtLeast100,153,556,0.205158534518777,0.140253074861398,0.276944546122667,2000
routine_bacterial_culture72h_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,MissingOrAmbiguous,0,556,0,0,0,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,All,Below50,71,649,0.139050508956049,0.0852617505476394,0.202763515999695,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,All,From50to99,137,649,0.259465202260954,0.197294777020629,0.329010653675498,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,All,AtLeast100,441,649,0.601484288782996,0.520909667580152,0.677631051538856,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,All,MissingOrAmbiguous,0,649,0,0,0,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,ConfirmedBeforeDischarge,Below50,<10,496,0.01174288835593,0.00249248563116063,0.0297454551959592,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,ConfirmedBeforeDischarge,From50to99,51,496,0.0998501240988098,0.0587338726530795,0.156236059255899,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,ConfirmedBeforeDischarge,AtLeast100,438,496,0.88840698754526,0.831295515295798,0.931211214080772,2000
routine_bacterial_culture72h_shared,vancomycin,After14d,ConfirmedBeforeDischarge,MissingOrAmbiguous,0,496,0,0,0,2000
