population,drug,discharge_window,prior_confirmation,mean_last_draw_to_discharge_hours,lower,upper
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,All,18.1086320720361,16.2641259075977,20.1556351339101
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,16.480374874184,14.2978935640856,19.261887899387
routine_culture_no_recorded_lmwh_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,19.3059683916207,16.4685799649463,22.3978624048582
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,All,25.7679760721004,21.4157859255938,33.4594975750206
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,ConfirmedBeforeDischarge,28.6840003793365,22.7489356275078,38.8068835526931
routine_culture_no_recorded_lmwh_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,19.8198450053012,14.4569495106457,27.5823612846523
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,All,17.0458796073769,12.1461045486452,23.3860822386555
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,ConfirmedBeforeDischarge,19.682284044126,8.34123400335965,35.2312372024447
routine_culture_no_recorded_lmwh_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,15.8967171211819,11.2889391190351,21.5001494780318
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,All,27.393352837146,13.9612478184511,43.5298150152338
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,ConfirmedBeforeDischarge,31.7924335775482,10.2805812560073,54.8740526197869
routine_culture_no_recorded_lmwh_shared,linezolid,After14d,NotConfirmedBeforeDischarge,19.6690989582197,10.3623373836602,34.696860051975
routine_bacterial_culture72h_shared,vancomycin,Within14d,All,18.1592107567915,16.4184686227027,20.2235469420707
routine_bacterial_culture72h_shared,vancomycin,Within14d,ConfirmedBeforeDischarge,16.5469039318742,14.4580270519306,19.3839156749668
routine_bacterial_culture72h_shared,vancomycin,Within14d,NotConfirmedBeforeDischarge,19.3451096258087,16.6554671281665,22.3823328665551
routine_bacterial_culture72h_shared,vancomycin,After14d,All,25.8068442998874,21.2263191326883,32.6962948648954
routine_bacterial_culture72h_shared,vancomycin,After14d,ConfirmedBeforeDischarge,28.6777302945442,22.5060970747741,38.2237317178008
routine_bacterial_culture72h_shared,vancomycin,After14d,NotConfirmedBeforeDischarge,19.9420050484936,14.5588495783553,27.2772279314748
routine_bacterial_culture72h_shared,linezolid,Within14d,All,17.0455652717108,12.0445336811924,22.9090760377313
routine_bacterial_culture72h_shared,linezolid,Within14d,ConfirmedBeforeDischarge,19.6813323721116,8.66288361609406,35.8111367024582
routine_bacterial_culture72h_shared,linezolid,Within14d,NotConfirmedBeforeDischarge,15.8966557525242,11.1499584449569,21.4681211335922
routine_bacterial_culture72h_shared,linezolid,After14d,All,27.3919152111601,14.536757371679,42.2996066952235
routine_bacterial_culture72h_shared,linezolid,After14d,ConfirmedBeforeDischarge,31.790096260778,10.2323151522671,54.4571507058706
routine_bacterial_culture72h_shared,linezolid,After14d,NotConfirmedBeforeDischarge,19.6699586902736,10.0769527007444,35.9334735645915
