characteristic,arm,n,denominator,unweighted_percent,weighted_percent
routine_blood72h,VAN,1737,2492,69.7030497592295,73.6864832976688
routine_blood72h,LZD,48,65,73.8461538461539,74.1893491171841
routine_urine72h,VAN,1523,2492,61.115569823435,43.7676882905222
routine_urine72h,LZD,27,65,41.5384615384615,43.0773082633092
routine_respiratory72h,VAN,567,2492,22.752808988764,32.5572584104388
routine_respiratory72h,LZD,22,65,33.8461538461539,33.0545249862374
known_named_routine7d,VAN,137,2492,5.4975922953451,9.68764812331238
known_named_routine7d,LZD,<10,65,,
known_enterococcus7d,VAN,17,2492,0.682182985553772,1.64076583585842
known_enterococcus7d,LZD,<10,65,,
known_mrsa_routine7d,VAN,0,2492,0,0
known_mrsa_routine7d,LZD,0,65,0,0
beta_lactam_available24h,VAN,1177,2492,47.23113964687,54.7791619486127
beta_lactam_available24h,LZD,36,65,55.3846153846154,55.5667771091933
prior_recorded_marrow,VAN,286,2492,11.4767255216693,26.0705766772945
prior_recorded_marrow,LZD,18,65,27.6923076923077,26.824021472286
rrt_documented_prior24h,VAN,206,2492,8.26645264847512,14.6545955615623
rrt_documented_prior24h,LZD,10,65,15.3846153846154,14.3269980754752
invasive_vent_documented_prior24h,VAN,1408,2492,56.5008025682183,54.644816467218
invasive_vent_documented_prior24h,LZD,35,65,53.8461538461539,54.4384419337911
pressors_documented_prior6h,VAN,908,2492,36.4365971107544,36.5826723036213
pressors_documented_prior6h,LZD,23,65,35.3846153846154,36.0834479462901
observed_creatinine_aki,VAN,601,2492,24.1171749598716,33.6561354268491
observed_creatinine_aki,LZD,22,65,33.8461538461539,33.3908192928226
