imputation,RD,within_variance,bootstrap_valid,bootstrap_requested,numerical_fallbacks,ESS_LZD,ESS_VAN,max_abs_SMD,lower,upper,between_variance,total_variance,df
1,-0.119687906369105,0.00157171431489405,500,500,1,64.6799441974739,1026.54645011696,0.0490550057737279,,,,,
2,-0.121353393754104,0.00175422037158775,500,500,3,64.6445252113136,976.120927543018,0.047947284994533,,,,,
3,-0.120876780217341,0.00172793988394346,500,500,3,64.6732682865981,1015.69600874908,0.048820496399843,,,,,
4,-0.123786825314177,0.00182656764488472,500,500,5,64.6817491948656,997.879210592468,0.0485943138866249,,,,,
5,-0.120352307352869,0.00156232059722019,500,500,5,64.6935625765582,955.430508876174,0.0495523335752519,,,,,
6,-0.127189443282125,0.0015392788426693,500,500,0,64.6276341200859,991.061639466905,0.0490871237061315,,,,,
7,-0.119568804443501,0.00190255080449811,500,500,3,64.6775883873438,1020.61209834506,0.0485996413233643,,,,,
8,-0.123373994537839,0.00164866450909271,500,500,0,64.6797090868215,1001.31376480051,0.0490105167776535,,,,,
9,-0.12002751064632,0.00184782349092711,500,500,4,64.6453196799044,1008.14367173313,0.0487450161385379,,,,,
10,-0.121427743178139,0.0018518645208639,500,500,1,64.636574500339,1001.32486494914,0.0487479744996234,,,,,
11,-0.122142850614848,0.00196100846892437,500,500,7,64.6559861428368,1038.9101514538,0.0493657861372727,,,,,
12,-0.12909230145807,0.00180492197972002,500,500,3,64.5837552944865,960.02077887255,0.0482430308103919,,,,,
13,-0.124562645493135,0.00163977345352181,500,500,1,64.6424565142751,995.918905999403,0.048070101611334,,,,,
14,-0.128128914644023,0.00168933651369724,500,500,2,64.5898138300259,994.513621112071,0.048506817576005,,,,,
15,-0.123608522106781,0.00178401753154587,500,500,0,64.6146436446192,966.936416421205,0.0483720399472702,,,,,
16,-0.113156121765526,0.00173873053057832,500,500,1,64.6756370594887,1043.45169825991,0.0486328511093804,,,,,
17,-0.129166028630697,0.00162519752444954,500,500,2,64.3128694748765,934.677512534879,0.0473498956102541,,,,,
18,-0.115098331777386,0.00177636084869831,500,500,0,64.7035815751203,1047.31454829536,0.0493348483259805,,,,,
19,-0.116352493709018,0.00194024501056589,500,500,2,64.6863162179093,1014.88913879268,0.0491296645104968,,,,,
20,-0.117598719420219,0.00175196879679136,500,500,2,64.7004866474018,1007.89793382193,0.0489519702305882,,,,,
,-0.121827581935761,0.0017472252819537,10000,10000,45,64.6402710821172,999.932992536812,0.0495523335752519,-0.204241191891668,-0.0394139719798545,1.98310352065759e-05,0.00176804786892061,136984.765293208
